country,video_count,top_channel
AE,1,UCtlQ1YWwHLVyuAU93NGX6ww
AG,1,UCFMKnjTBydrUiANRJlazHgA
AR,2,UCBjyTtNpeuGjAfFyyMJWC6g
AU,13,UCmOZTyhea2luossld9Qpu9Q
BD,3,UCndCHGgEQ05YgQsjWvKBzcA
BE,1,UCkXWisas7nopnXQVgqMwodQ
BR,1,UCSyXuQ5KpyTgds-DNqnPZEw
CA,9,UCVKAcQQCO8vv87Gk62SutAg
CH,1,UCj1Y3G-o9anoaKtjWyEpMlw
ES,1,UCXBVJwAsESLUlxMIgnlA9EQ
FR,2,UCmQtBzF6CYDQic0sdryE9wQ
GB,10,UCh1zCO_7u-HulvS76NxjRSw
GH,1,UC4ytKw4qxPAacJnsqwh94fQ
HK,3,UCdbOasd73mGewthzV_6l56w
ID,1,UCnx5HwMsFwM0gFOuyGOW8tg
IN,213,UCSXST7C6VuW-lDEHpwb1UIw
JP,1,UCJ1vmg20EZjFW3BoKvPB5TA
KE,22,UCypNjM5hP1qcUqQZe57jNfg
MX,2,UCbIsVQyn2UfiTcdnbt7tEhA
MY,3,UCWrK0_1xYG-uxAMP_tLhSmw
NG,7,UCgp4A6I8LCWrhUzn-5SbKvA
PK,5,UCaz5Wytu2ACDKppvKyo9uHw
QA,3,UCNye-wNBqNL5ZzHSJj3l8Bg
TR,1,UCnyCrv8b7bu0oWFXGyHaPzg
TW,1,UCCJBSLNtozkO-NqjpPZujiQ
UG,1,UCwga1dPCqBddbtq5KYRii2g
US,98,UCl1lgaGUQpB23873Xra-mRA
Unknown,204,UCQXkUCDAVlCkzSdNeipFDkA
ZA,10,UC8yH-uI81UUtEMDsowQyx1g
ZM,1,UCrJeYiQ-aKdeEhvKnPXvovQ
ZW,1,UC552Flx1f_saaYMaSvJC9VA
